epochs,batch_size,dataset_size,non_trainable_params,Conv2D,Dense,Embedding,Flatten,MaxPooling2D,SimpleRNN,co2
10,32,2499,150,0,3,0,0,0,0,1.0383679594905905e-06
15,32,2499,150,0,3,0,0,0,0,9.40400995757738e-07
20,32,2499,150,0,3,0,0,0,0,1.0977608984121662e-06
25,32,2499,150,0,3,0,0,0,0,1.260524539427739e-06
30,32,2499,150,0,3,0,0,0,0,1.308075443565132e-06
35,32,2499,150,0,3,0,0,0,0,1.4082927616984022e-06
40,32,2499,150,0,3,0,0,0,0,1.5872428914680809e-06
45,32,2499,150,0,3,0,0,0,0,1.640999996066973e-06
50,32,2499,150,0,3,0,0,0,0,1.814020062436679e-06
5,32,2499,150,0,3,0,0,0,0,5.990251509746088e-07
10,32,2499,150,0,3,0,0,0,0,6.931567473583548e-07
15,32,2499,150,0,3,0,0,0,0,7.657235166414008e-07
20,32,2499,150,0,3,0,0,0,0,9.31805011026938e-07
25,32,2499,150,0,3,0,0,0,0,1.0276086493832327e-06
30,32,2499,150,0,3,0,0,0,0,1.1634432724724167e-06
35,32,2499,150,0,3,0,0,0,0,1.2729950211647536e-06
40,32,2499,150,0,3,0,0,0,0,1.402458712110596e-06
45,32,2499,150,0,3,0,0,0,0,1.487946921946317e-06
50,32,2499,150,0,3,0,0,0,0,1.6935182092261227e-06
10,32,2689,20640,0,3,0,0,0,0,1.502462704528733e-05
15,32,2689,20640,0,3,0,0,0,0,1.9844058430043463e-05
20,32,2689,20640,0,3,0,0,0,0,2.526765910305321e-05
25,32,2689,20640,0,3,0,0,0,0,3.0065938025729758e-05
30,32,2689,20640,0,3,0,0,0,0,3.4361350728335675e-05
35,32,2689,20640,0,3,0,0,0,0,3.758314961889664e-05
40,32,2689,20640,0,3,0,0,0,0,4.479554249352519e-05
45,32,2689,20640,0,3,0,0,0,0,5.066509303169859e-05
50,32,2689,20640,0,3,0,0,0,0,5.464935563030941e-05
5,32,2689,20640,0,3,0,0,0,0,7.5866278162322865e-06
10,32,2689,20640,0,3,0,0,0,0,1.5203125298604778e-05
15,32,2689,20640,0,3,0,0,0,0,2.0688035802383897e-05
20,32,2689,20640,0,3,0,0,0,0,2.608560790693265e-05
25,32,2689,20640,0,3,0,0,0,0,3.139721688041082e-05
30,32,2689,20640,0,3,0,0,0,0,3.5894549202482434e-05
35,32,2689,20640,0,3,0,0,0,0,4.183855182551027e-05
40,32,2689,20640,0,3,0,0,0,0,4.7837257646713246e-05
45,32,2689,20640,0,3,0,0,0,0,5.195225429284989e-05
50,32,2689,20640,0,3,0,0,0,0,5.713201665619956e-05
40,32,322113,50000,0,1,1,0,0,1,0.0008067643794339
45,32,322113,50000,0,1,1,0,0,1,0.0009116928870897
10,32,93322,70000,3,2,0,1,2,0,8.184106275064878e-05
15,32,93322,70000,3,2,0,1,2,0,0.0001202308813536
20,32,93322,70000,3,2,0,1,2,0,0.0001575944539906
25,32,93322,70000,3,2,0,1,2,0,0.0001970726579041
30,32,93322,70000,3,2,0,1,2,0,0.0002347658599833
35,32,93322,70000,3,2,0,1,2,0,0.0002753035815794
40,32,93322,70000,3,2,0,1,2,0,0.0003226274283136
45,32,93322,70000,3,2,0,1,2,0,0.0003524561903528
50,32,93322,70000,3,2,0,1,2,0,0.0003884132198318
5,32,93322,70000,3,2,0,1,2,0,4.331730190738874e-05
10,32,93322,70000,3,2,0,1,2,0,8.175721344266045e-05
15,32,93322,70000,3,2,0,1,2,0,0.0001195550115182
20,32,93322,70000,3,2,0,1,2,0,0.0001582178470409
25,32,93322,70000,3,2,0,1,2,0,0.0001973501754103
30,32,93322,70000,3,2,0,1,2,0,0.0002334406094467
35,32,93322,70000,3,2,0,1,2,0,0.0002722184558096
10,32,322113,50000,0,1,1,0,0,1,0.0002047933260086
15,32,322113,50000,0,1,1,0,0,1,0.0002981408292542
20,32,322113,50000,0,1,1,0,0,1,0.0003948988411509
25,32,322113,50000,0,1,1,0,0,1,0.0005128248671464
